FD,time,apache 
3099,1079,20
3101,1080,20
3100,1081,20
3100,1082,20
3099,1083,20
3103,1084,20
3093,1085,20
3093,1086,20
3092,1087,20
3095,1088,20
3092,1089,20
3095,1090,20
3094,1091,20
3092,1092,20
3095,1093,20
3093,1094,20
3093,1095,20
3128,1096,20
3124,1097,20
3123,1098,20
3126,1099,20
3123,1100,20
3093,1101,20
3094,1102,20
3093,1103,20
3094,1104,20
3092,1105,20
3093,1106,20
3093,1107,20
3094,1108,20
3093,1109,20
3096,1110,20
3095,1111,20
3095,1112,20
3095,1113,20
3093,1114,20
3093,1115,20
3098,1116,20
3094,1117,20
3095,1118,20
3094,1119,20
3093,1120,20
3091,1121,20
3089,1122,20
3092,1123,20
3092,1124,20
3091,1125,20
3090,1126,20
3091,1127,20
3089,1128,20
3092,1129,20
3091,1130,20
3090,1131,20
3091,1132,20
3089,1133,20
3091,1134,20
3089,1135,20
3092,1136,20
3089,1137,20
3092,1138,20
3092,1139,20
3089,1140,20
3091,1141,20
3090,1142,20
3091,1143,20
3090,1144,20
3091,1145,20
3089,1146,20
3092,1147,20
3092,1148,20
3092,1149,20
3092,1150,20
3091,1151,20
3095,1152,20
3089,1153,20
3092,1154,20
3092,1155,20
3089,1156,20
3092,1157,20
3092,1158,20
3091,1159,20
3091,1160,20
3093,1161,20
3091,1162,20
3090,1163,20
3091,1164,20
3089,1165,20
3092,1166,20
3094,1167,20
3089,1168,20
3092,1169,20
3092,1170,20
3089,1171,20
3092,1172,20
3092,1173,20
3089,1174,20
3092,1175,20
3089,1176,20
3083,1177,20
3083,1178,20
3080,1179,20
3083,1180,20
3083,1181,20
3080,1182,20
3083,1183,20
3083,1184,20
3084,1185,20
3083,1186,20
3083,1187,20
3083,1188,20
3080,1189,20
3083,1190,20
3080,1191,20
3083,1192,20
3081,1193,20
3080,1194,20
3081,1195,20
3079,1196,20
3082,1197,20
3080,1198,20
3080,1199,20
3082,1200,20
3082,1201,20
3081,1202,20
3080,1203,20
3082,1204,20
3081,1205,20
3079,1206,20
3078,1207,20
3076,1208,20
3079,1209,20
3077,1210,20
3076,1211,20
3079,1212,20
3076,1213,20
3079,1214,20
3079,1215,20
3079,1216,20
3079,1217,20
3080,1218,20
3077,1219,20
3078,1220,20
3077,1221,19
3078,1222,18
3077,1223,17
3078,1224,16
3076,1225,15
3077,1226,14
3077,1227,13
3078,1228,30
3077,1229,30
3078,1230,30
3076,1231,30
3079,1232,30
3077,1233,30
3077,1234,30
3075,1235,30
3080,1236,30
3076,1237,30
3073,1238,30
3076,1239,30
3076,1240,30
3076,1241,30
3076,1242,30
3075,1243,30
3074,1244,30
3075,1245,30
3073,1246,30
3078,1247,30
3074,1248,30
3070,1249,30
3070,1250,30
3073,1251,30
3073,1252,30
3072,1253,30
3077,1254,30
3072,1255,30
3070,1256,30
3073,1257,30
3070,1258,30
3073,1259,30
3073,1260,30
3073,1261,30
3073,1262,30
3071,1263,30
3074,1264,30
3073,1265,30
3070,1266,30
3073,1267,30
3070,1268,30
3071,1269,30
3070,1270,30
3072,1271,30
3071,1272,30
3072,1273,30
3070,1274,30
3071,1275,30
3070,1276,30
3071,1277,30
3072,1278,30
3073,1279,30
3073,1280,30
3072,1281,30
3071,1282,30
3073,1283,30
3073,1284,30
3073,1285,30
3073,1286,30
3073,1287,30
3072,1288,30
3070,1289,30
3071,1290,30
3071,1291,30
3073,1292,30
3072,1293,30
3070,1294,30
3073,1295,30
3072,1296,30
3070,1297,30
3071,1298,30
3071,1299,30
3070,1300,30
3070,1301,30
3073,1302,30
3073,1303,30
3072,1304,30
3070,1305,30
3071,1306,30
3073,1307,30
3073,1308,30
3073,1309,30
3073,1310,30
3072,1311,30
3071,1312,30
3072,1313,30
3070,1314,30
3072,1315,30
3071,1316,30
3073,1317,30
3073,1318,30
3073,1319,30
3072,1320,30
3071,1321,30
3072,1322,30
3076,1323,30
3075,1324,30
3073,1325,30
3075,1326,30
3073,1327,30
3075,1328,30
3074,1329,30
3076,1330,30
3075,1331,30
3074,1332,30
3075,1333,30
3073,1334,30
3076,1335,30
3074,1336,30
3074,1337,30
3075,1338,30
3074,1339,30
3075,1340,30
3073,1341,30
3075,1342,30
3073,1343,30
3076,1344,30
3076,1345,30
3075,1346,30
3074,1347,30
3076,1348,30
3076,1349,30
3076,1350,30
3071,1351,30
3070,1352,30
3073,1353,30
3072,1354,30
3074,1355,30
3072,1356,30
3074,1357,30
3072,1358,30
3070,1359,30
3073,1360,30
3072,1361,30
3071,1362,30
3073,1363,30
3073,1364,30
3074,1365,30
3072,1366,30
3076,1367,30
3073,1368,30
3073,1369,30
3072,1370,30
3071,1371,30
3071,1372,30
3071,1373,30
3073,1374,30
3073,1375,30
3072,1376,30
3070,1377,30
3070,1378,30
3073,1379,30
3073,1380,30
3073,1381,30
3072,1382,30
3073,1383,30
3071,1384,30
3070,1385,30
3073,1386,30
3073,1387,30
3070,1388,30
3073,1389,30
3073,1390,30
3072,1391,30
3070,1392,30
3072,1393,30
3070,1394,30
3073,1395,30
3073,1396,30
3073,1397,30
3073,1398,30
3073,1399,30
3073,1400,30
3072,1401,30
3070,1402,30
3073,1403,30
3073,1404,30
3071,1405,30
3073,1406,30
3070,1407,30
3073,1408,30
3073,1409,30
3073,1410,30
3071,1411,30
